"file","degree","in","out"
"desarrollo/docs/investigacion/Holybro/CAD_Fastener_Optimization_Plan.md","0","0","0"
"desarrollo/docs/investigacion/Holybro/CAD_Symmetry_Instancer_Documentation.md","0","0","0"
"desarrollo/docs/investigacion/Holybro/Holybro X500 V2 Report.md","0","0","0"
"desarrollo/docs/investigacion/Holybro/holybro-x500-links.md","0","0","0"
"desarrollo/docs/investigacion/Holybro/MAPEO_UI_FIELD_BINDINGS_2026-04-15.md","0","0","0"
"desarrollo/docs/investigacion/Holybro/tablas_piezas_hotspots.md","0","0","0"
"desarrollo/docs/investigacion/Holybro/TRAZABILIDAD_MASAS_PIEZAS_MADRE_2026-04-15.md","0","0","0"
"desarrollo/docs/investigacion/Holybro/x500v2_blender_inventory.md","0","0","0"
"desarrollo/docs/investigacion/Holybro/x500v2_blender_unity_crossref.md","0","0","0"
"desarrollo/docs/investigacion/Holybro/x500v2_subpiece_encapsulation_map.md","0","0","0"
"desarrollo/docs/sistema_termico/AGENT_HANDOFF_THERMAL.md","0","0","0"
"desarrollo/docs/sistema_termico/INDICE_TERMICO.md","0","0","0"
"desarrollo/docs/sistema_termico/MATRIZ_ACTUALIZACION_DOCUMENTAL.md","0","0","0"
"desarrollo/docs/sistema_termico/PREPARACION_FBX_IMPORTADO.md","0","0","0"
"desarrollo/docs/sistema_termico/README.md","0","0","0"
"desarrollo/docs/sistema_termico/RETOPOLOGIA_POR_PIEZA.md","0","0","0"
"desarrollo/docs/sistema_termico/wolfram_verificaciones.md","0","0","0"
"desarrollo/unity_project/FASE3_WORKPLAN.md","0","0","0"
"desarrollo/unity_project/INVENTARIO_PIEZAS_TERMICO_FILTROS_HOTSPOTS.md","0","0","0"
"desarrollo/unity_project/PHASE2_CHANGELOG.md","0","0","0"
"desarrollo/unity_project/PHASE2_UX_PLAN.md","0","0","0"
"desarrollo/unity_project/PHASE3_CHANGELOG.md","0","0","0"
"desarrollo/unity_project/REFACTORING_PLAN.md","0","0","0"
"desarrollo/unity_project/UX_UI_AUDIT_REPORT.md","0","0","0"
"desarrollo/unity_project/WEBGL_BUILD_GUIDE.md","0","0","0"
"desarrollo/unity_project/WEBGL_BUILD_SETTINGS.md","0","0","0"
"desarrollo/unity_project/WEBGL_OPTIMIZATION_MANUAL.md","0","0","0"
"desarrollo/unity_project/Assets/Audio/AUDIO_REQUIREMENTS.md","0","0","0"
"desarrollo/unity_project/Assets/Scripts/Core/Thermal/INDICE_TERMICO_CODIGO.md","0","0","0"
"desarrollo/unity_project/Library/PackageCache/com.lilytech-lab.wireframe-shader@964c5863f431/ReadMe.md","0","0","0"
"desarrollo/unity_project/Library/PackageCache/com.lilytech-lab.wireframe-shader@964c5863f431/ReadMe_ja.md","0","0","0"
"desarrollo/unity_project/Library/PackageCache/com.unity.burst@1df634d836b8/CHANGELOG.md","0","0","0"
"desarrollo/unity_project/Library/PackageCache/com.unity.burst@1df634d836b8/LICENSE.md","0","0","0"
"desarrollo/unity_project/Library/PackageCache/com.unity.burst@1df634d836b8/Third Party Notices.md","0","0","0"
"desarrollo/unity_project/Library/PackageCache/com.unity.burst@1df634d836b8/Documentation~/aliasing-job-system.md","0","0","0"
"desarrollo/unity_project/Library/PackageCache/com.unity.burst@1df634d836b8/Documentation~/aliasing-noalias.md","0","0","0"
"desarrollo/unity_project/Library/PackageCache/com.unity.burst@1df634d836b8/Documentation~/aliasing.md","0","0","0"
"desarrollo/unity_project/Library/PackageCache/com.unity.burst@1df634d836b8/Documentation~/building-aot-settings.md","0","0","0"
"desarrollo/unity_project/Library/PackageCache/com.unity.burst@1df634d836b8/Documentation~/building-projects.md","0","0","0"
"desarrollo/unity_project/Library/PackageCache/com.unity.burst@1df634d836b8/Documentation~/compilation-burstcompile-assembly.md","0","0","0"
