"file","out","in","degree"
"desarrollo/unity_project/PHASE2_UX_PLAN.md","0","0","0"
"desarrollo/unity_project/PHASE3_CHANGELOG.md","0","0","0"
"desarrollo/unity_project/REFACTORING_PLAN.md","0","0","0"
"desarrollo/unity_project/Reports/imported_drone_coverage_report.md","0","0","0"
"desarrollo/unity_project/UX_UI_AUDIT_REPORT.md","0","0","0"
"desarrollo/unity_project/WEBGL_BUILD_GUIDE.md","0","0","0"
"desarrollo/unity_project/WEBGL_BUILD_SETTINGS.md","0","0","0"
"desarrollo/unity_project/WEBGL_OPTIMIZATION_MANUAL.md","0","0","0"
"desarrollo/UNITY_SETUP.md","0","0","0"
"docs/INSTALL_STATUS.md","0","0","0"
"docs/manuals/ARCHITECTURE.md","0","0","0"
"docs/manuals/AUDIO_REQUIREMENTS.md","0","0","0"
"docs/manuals/CONTRIBUTING.md","0","0","0"
"docs/manuals/CUESTIONARIO_NASA_TLX.md","0","0","0"
"docs/manuals/CUESTIONARIO_SUS.md","0","0","0"
"docs/manuals/DEMO_SCRIPT.md","0","0","0"
"docs/manuals/DEPLOYMENT_GUIDE.md","0","0","0"
"docs/manuals/manual_tecnico.md","0","0","0"
"docs/manuals/manual_usuario.md","0","0","0"
"docs/manuals/README.md","0","0","0"
"docs/manuals/WEBGL_BUILD_SETTINGS.md","0","0","0"
"docs/src/ARCHITECTURE.md","0","0","0"
"External_docs/Guía Completa de Diseño UI_UX para Aplicaciones Mó.md","0","0","0"
"External_docs/README.md","0","0","0"
"External_docs/UI_Toolkit_WebGL_Guide.md","0","0","0"
"External_docs/Unity Slider Dragger.md","0","0","0"
"External_docs/unity_webgl_reference/UI_Toolkit_WebGL_Guide.md","0","0","0"
"External_docs/unity_webgl_reference/Unity Slider Dragger.md","0","0","0"
"External_docs/unity_webgl_reference/Unity6_WebGL_Advanced.md","0","0","0"
"External_docs/unity_webgl_reference/Unity6_WebGL_Architecture.md","0","0","0"
"External_docs/Unity6_WebGL_Advanced.md","0","0","0"
"External_docs/Unity6_WebGL_Architecture.md","0","0","0"
"External_docs/UX_Audit_Iteration14.md","0","0","0"
"External_docs/UX_Research_Plan_Iteration12.md","0","0","0"
"External_docs/ux_ui_reference/Guía Completa de Diseño UI_UX para Aplicaciones Mó.md","0","0","0"
"Informe_final/AUDITORIA_PRIMERA_PASADA_INFORME_2026-04-15.md","0","0","0"
"Informe_final/Audits/ACADEMIC_ALIGNMENT_AUDIT.md","0","0","0"
"Informe_final/Audits/APA_FORMAT_AUDIT.md","0","0","0"
"Informe_final/Audits/CODE_DOC_COHERENCE_AUDIT.md","0","0","0"
"Informe_final/Audits/MATHEMATICAL_LOGIC_AUDIT.md","0","0","0"
"Informe_final/Audits/UX_UI_AUDIT.md","0","0","0"
"Informe_final/CRONOGRAMA.md","0","0","0"
"Informe_final/Desarrollo_App/ALL_FILES_CONSOLIDATED.md","0","0","0"
"Informe_final/Desarrollo_App/AUDITORIA_MATEMATICA_Y_ARQUITECTURA_2026-04-12.md","0","0","0"
"Informe_final/Desarrollo_App/CLEANUP_MANIFEST.md","0","0","0"
"Informe_final/Desarrollo_App/design_system/DESIGN_TOKENS.md","0","0","0"
"Informe_final/Desarrollo_App/hojas_de_ruta/README.md","0","0","0"
"Informe_final/Desarrollo_App/MATRIZ_DESCONEXIONES_APP_DOCUMENTACION.md","0","0","0"
"Informe_final/Desarrollo_App/PAQUETE_DE_ENTREGA.md","0","0","0"
"Informe_final/Desarrollo_App/README.md","0","0","0"
"Informe_final/Desarrollo_App/REPO_RESTRUCTURING_PROPOSAL.md","0","0","0"
